"","Ensembl_ID","Symbol"
"138","MIMAT0025455","hsa-miR-6500-3p"
"139","MI0003941","hsa-mir-761"
"140","MIMAT0010364","hsa-miR-761"
"141","MI0017426","hsa-mir-4781"
"142","MIMAT0019942","hsa-miR-4781-5p"
"143","MIMAT0019943","hsa-miR-4781-3p"
"144","MI0016759","hsa-mir-4422"
"145","MIMAT0018935","hsa-miR-4422"
"146","MI0017345","hsa-mir-4711"
"147","MIMAT0019816","hsa-miR-4711-5p"
"148","MIMAT0019817","hsa-miR-4711-3p"
"149","MI0039734","hsa-mir-12132"
"150","MIMAT0049026","hsa-miR-12132"
"151","MI0014128","hsa-mir-3116-1"
"152","MIMAT0014978","hsa-miR-3116"
"153","MI0014129","hsa-mir-3116-2"
"154","MIMAT0014978_1","hsa-miR-3116"
"155","MI0020345","hsa-mir-6068"
"156","MIMAT0023693","hsa-miR-6068"
"157","MI0017441","hsa-mir-4794"
"158","MIMAT0019967","hsa-miR-4794"
"159","MI0016072","hsa-mir-3671"
"160","MIMAT0018094","hsa-miR-3671"
"161","MI0000103","hsa-mir-101-1"
"162","MIMAT0004513","hsa-miR-101-5p"
"163","MIMAT0000099","hsa-miR-101-3p"
"164","MI0014130","hsa-mir-3117"
"165","MIMAT0014979","hsa-miR-3117-3p"
"166","MIMAT0019197","hsa-miR-3117-5p"
"167","MI0006397","hsa-mir-1262"
"168","MIMAT0005914","hsa-miR-1262"
"169","MI0000483","hsa-mir-186"
"170","MIMAT0000456","hsa-miR-186-5p"
"171","MIMAT0004612","hsa-miR-186-3p"
"172","MI0023616","hsa-mir-7156"
"173","MIMAT0028222","hsa-miR-7156-5p"
"174","MIMAT0028223","hsa-miR-7156-3p"
"175","MI0016760","hsa-mir-4423"
"176","MIMAT0019232","hsa-miR-4423-5p"
"177","MIMAT0018936","hsa-miR-4423-3p"
"178","MI0025526","hsa-mir-7856"
"179","MIMAT0030431","hsa-miR-7856-5p"
"180","MI0005567","hsa-mir-760"
"181","MIMAT0004957","hsa-miR-760"
"182","MI0039735","hsa-mir-12133"
"183","MIMAT0049027","hsa-miR-12133"
"184","MI0012063","hsa-mir-2682"
"185","MIMAT0013517","hsa-miR-2682-5p"
"186","MIMAT0013518","hsa-miR-2682-3p"
"187","MI0000454","hsa-mir-137"
"188","MIMAT0000429","hsa-miR-137-3p"
"189","MIMAT0037310","hsa-miR-137-5p"
"190","MI0003558","hsa-mir-553"
"191","MIMAT0003216","hsa-miR-553"
"192","MI0025522","hsa-mir-7852"
"193","MIMAT0030427","hsa-miR-7852-3p"
"194","MI0000239","hsa-mir-197"
"195","MIMAT0000227","hsa-miR-197-3p"
"196","MIMAT0022691","hsa-miR-197-5p"
"197","MI0015855","hsa-mir-4256"
"198","MIMAT0016877","hsa-miR-4256"
"199","MI0036558","hsa-mir-11399"
"200","MIMAT0044656","hsa-miR-11399"
"201","MI0016762","hsa-mir-548ac"
"202","MIMAT0018938","hsa-miR-548ac"
"203","MI0003776","hsa-mir-320b-1"
"204","MIMAT0005792","hsa-miR-320b"
"205","MI0005767","hsa-mir-942"
"206","MIMAT0004985","hsa-miR-942-5p"
"207","MIMAT0026734","hsa-miR-942-3p"
"208","MI0022581","hsa-mir-6736"
"209","MIMAT0027373","hsa-miR-6736-5p"
"210","MIMAT0027374","hsa-miR-6736-3p"
"211","MI0017976","hsa-mir-5087"
"212","MIMAT0021079","hsa-miR-5087"
"213","MI0020354","hsa-mir-6077"
"214","MIMAT0023702","hsa-miR-6077"
"215","MI0022725","hsa-mir-6878"
"216","MIMAT0027656","hsa-miR-6878-5p"
"217","MIMAT0027657","hsa-miR-6878-3p"
"218","MI0015856","hsa-mir-4257"
"219","MIMAT0016878","hsa-miR-4257"
"220","MI0003559","hsa-mir-554"
