"","Ensembl_ID","Symbol","Biotype"
"350","ENSG00000175279","CENPS","protein_coding"
"351","ENSG00000241563","CORT","protein_coding"
"352","ENSG00000160049","DFFA","protein_coding"
"354","ENSG00000142655","PEX14","protein_coding"
"356","ENSG00000130940","CASZ1","protein_coding"
"359","ENSG00000175262","C1orf127","protein_coding"
"361","ENSG00000120948","TARDBP","protein_coding"
"362","ENSG00000277726","RP4-635E18.9","protein_coding"
"363","ENSG00000009724","MASP2","protein_coding"
"365","ENSG00000116649","SRM","protein_coding"
"366","ENSG00000171824","EXOSC10","protein_coding"
"369","ENSG00000198793","MTOR","protein_coding"
"372","ENSG00000171819","ANGPTL7","protein_coding"
"375","ENSG00000120942","UBIAD1","protein_coding"
"379","ENSG00000204624","DISP3","protein_coding"
"382","ENSG00000116661","FBXO2","protein_coding"
"383","ENSG00000132879","FBXO44","protein_coding"
"384","ENSG00000116663","FBXO6","protein_coding"
"385","ENSG00000116670","MAD2L2","protein_coding"
"386","ENSG00000162490","DRAXIN","protein_coding"
"387","ENSG00000177674","AGTRAP","protein_coding"
"388","ENSG00000215910","C1orf167","protein_coding"
"390","ENSG00000177000","MTHFR","protein_coding"
"391","ENSG00000011021","CLCN6","protein_coding"
"395","ENSG00000175206","NPPA","protein_coding"
"397","ENSG00000120937","NPPB","protein_coding"
"401","ENSG00000116685","KIAA2013","protein_coding"
"402","ENSG00000083444","PLOD1","protein_coding"
"403","ENSG00000116688","MFN2","protein_coding"
"405","ENSG00000116691","MIIP","protein_coding"
"409","ENSG00000120949","TNFRSF8","protein_coding"
"413","ENSG00000028137","TNFRSF1B","protein_coding"
"417","ENSG00000048707","VPS13D","protein_coding"
"420","ENSG00000162496","DHRS3","protein_coding"
"424","ENSG00000204518","AADACL4","protein_coding"
"426","ENSG00000188984","AADACL3","protein_coding"
"427","ENSG00000157330","C1orf158","protein_coding"
"428","ENSG00000116726","PRAMEF12","protein_coding"
"429","ENSG00000116721","PRAMEF1","protein_coding"
"431","ENSG00000239810","PRAMEF11","protein_coding"
"433","ENSG00000179172","HNRNPCL1","protein_coding"
"434","ENSG00000120952","PRAMEF2","protein_coding"
"435","ENSG00000243073","PRAMEF4","protein_coding"
"436","ENSG00000187545","PRAMEF10","protein_coding"
"437","ENSG00000204510","PRAMEF7","protein_coding"
"440","ENSG00000232423","PRAMEF6","protein_coding"
"442","ENSG00000274764","PRAMEF27","protein_coding"
"443","ENSG00000277058","HNRNPCL3","protein_coding"
"444","ENSG00000229571","PRAMEF25","protein_coding"
"447","ENSG00000275774","HNRNPCL2","protein_coding"
"450","ENSG00000280267","PRAMEF26","protein_coding"
"451","ENSG00000179412","HNRNPCL4","protein_coding"
"452","ENSG00000204505","PRAMEF9","protein_coding"
"453","ENSG00000279169","PRAMEF13","protein_coding"
"454","ENSG00000279804","PRAMEF18","protein_coding"
"456","ENSG00000270601","PRAMEF5","protein_coding"
"459","ENSG00000182330","PRAMEF8","protein_coding"
"460","ENSG00000237700","RP11-219C24.6","protein_coding"
"461","ENSG00000204501","PRAMEF15","protein_coding"
"463","ENSG00000204481","PRAMEF14","protein_coding"
"464","ENSG00000204480","PRAMEF19","protein_coding"
"465","ENSG00000204479","PRAMEF17","protein_coding"
"466","ENSG00000204478","PRAMEF20","protein_coding"
"467","ENSG00000162494","LRRC38","protein_coding"
"470","ENSG00000162493","PDPN","protein_coding"
"474","ENSG00000116731","PRDM2","protein_coding"
"475","ENSG00000189337","KAZN","protein_coding"
"481","ENSG00000171729","TMEM51","protein_coding"
"485","ENSG00000142621","FHAD1","protein_coding"
"489","ENSG00000142634","EFHD2","protein_coding"
"490","ENSG00000162438","CTRC","protein_coding"
"491","ENSG00000142615","CELA2A","protein_coding"
"492","ENSG00000215704","CELA2B","protein_coding"
"493","ENSG00000132906","CASP9","protein_coding"
"494","ENSG00000116138","DNAJC16","protein_coding"
"497","ENSG00000116771","AGMAT","protein_coding"
"502","ENSG00000197312","DDI2","protein_coding"
"503","ENSG00000215695","RSC1A1","protein_coding"
"505","ENSG00000116786","PLEKHM2","protein_coding"
"507","ENSG00000162461","SLC25A34","protein_coding"
"509","ENSG00000162460","TMEM82","protein_coding"
"510","ENSG00000162458","FBLIM1","protein_coding"
"512","ENSG00000233954","UQCRHL","protein_coding"
"515","ENSG00000065526","SPEN","protein_coding"
"517","ENSG00000116809","ZBTB17","protein_coding"
"522","ENSG00000183888","C1orf64","protein_coding"
"524","ENSG00000173641","HSPB7","protein_coding"
"525","ENSG00000186510","CLCNKA","protein_coding"
"527","ENSG00000184908","CLCNKB","protein_coding"
"528","ENSG00000185519","FAM131C","protein_coding"
"529","ENSG00000142627","EPHA2","protein_coding"
"533","ENSG00000142632","ARHGEF19","protein_coding"
"535","ENSG00000132881","RSG1","protein_coding"
"537","ENSG00000037637","FBXO42","protein_coding"
"538","ENSG00000055070","SZRD1","protein_coding"
"540","ENSG00000187144","SPATA21","protein_coding"
"541","ENSG00000157191","NECAP2","protein_coding"
"550","ENSG00000219481","NBPF1","protein_coding"
"562","ENSG00000058453","CROCC","protein_coding"
"575","ENSG00000117122","MFAP2","protein_coding"
"577","ENSG00000159363","ATP13A2","protein_coding"
"578","ENSG00000117118","SDHB","protein_coding"
"579","ENSG00000117115","PADI2","protein_coding"
"582","ENSG00000142623","PADI1","protein_coding"
"583","ENSG00000142619","PADI3","protein_coding"
"585","ENSG00000159339","PADI4","protein_coding"
"586","ENSG00000276747","PADI6","protein_coding"
"588","ENSG00000179051","RCC2","protein_coding"
"589","ENSG00000074964","ARHGEF10L","protein_coding"
"591","ENSG00000117148","ACTL8","protein_coding"
"594","ENSG00000117154","IGSF21","protein_coding"
"598","ENSG00000179023","KLHDC7A","protein_coding"
"601","ENSG00000009709","PAX7","protein_coding"
"602","ENSG00000179002","TAS1R2","protein_coding"
"603","ENSG00000255275","RP13-279N23.2","protein_coding"
"604","ENSG00000159423","ALDH4A1","protein_coding"
"607","ENSG00000169991","IFFO2","protein_coding"
"609","ENSG00000127481","UBR4","protein_coding"
"611","ENSG00000127463","EMC1","protein_coding"
"612","ENSG00000053372","MRTO4","protein_coding"
"613","ENSG00000211454","AKR7L","polymorphic_pseudogene"
"614","ENSG00000162482","AKR7A3","protein_coding"
"616","ENSG00000053371","AKR7A2","protein_coding"
"618","ENSG00000040487","PQLC2","protein_coding"
"619","ENSG00000077549","CAPZB","protein_coding"
"623","ENSG00000173436","MINOS1","protein_coding"
"624","ENSG00000158747","NBL1","protein_coding"
"625","ENSG00000270136","MINOS1-NBL1","protein_coding"
"627","ENSG00000158748","HTR6","protein_coding"
"628","ENSG00000162542","TMCO4","protein_coding"
"629","ENSG00000178828","RNF186","protein_coding"
"631","ENSG00000169914","OTUD3","protein_coding"
"632","ENSG00000188784","PLA2G2E","protein_coding"
"634","ENSG00000188257","PLA2G2A","protein_coding"
"635","ENSG00000127472","PLA2G5","protein_coding"
"636","ENSG00000117215","PLA2G2D","protein_coding"
"637","ENSG00000158786","PLA2G2F","protein_coding"
"639","ENSG00000187980","PLA2G2C","protein_coding"
"641","ENSG00000162543","UBXN10","protein_coding"
"644","ENSG00000158816","VWA5B1","protein_coding"
"650","ENSG00000162545","CAMK2N1","protein_coding"
"651","ENSG00000090432","MUL1","protein_coding"
"653","ENSG00000183114","FAM43B","protein_coding"
"654","ENSG00000158825","CDA","protein_coding"
"655","ENSG00000158828","PINK1","protein_coding"
"658","ENSG00000244038","DDOST","protein_coding"
"659","ENSG00000117245","KIF17","protein_coding"
"661","ENSG00000189410","SH2D5","protein_coding"
"663","ENSG00000127483","HP1BP3","protein_coding"
"664","ENSG00000075151","EIF4G3","protein_coding"
"670","ENSG00000117298","ECE1","protein_coding"
"679","ENSG00000142794","NBPF3","protein_coding"
"681","ENSG00000162551","ALPL","protein_coding"
"683","ENSG00000076864","RAP1GAP","protein_coding"
"684","ENSG00000090686","USP48","protein_coding"
"686","ENSG00000187942","LDLRAD2","protein_coding"
"687","ENSG00000142798","HSPG2","protein_coding"
"690","ENSG00000219073","CELA3B","protein_coding"
"693","ENSG00000142789","CELA3A","protein_coding"
"698","ENSG00000070831","CDC42","protein_coding"
"702","ENSG00000162552","WNT4","protein_coding"
"706","ENSG00000184677","ZBTB40","protein_coding"
"708","ENSG00000070886","EPHA8","protein_coding"
"710","ENSG00000173372","C1QA","protein_coding"
"711","ENSG00000159189","C1QC","protein_coding"
"712","ENSG00000173369","C1QB","protein_coding"
"713","ENSG00000133216","EPHB2","protein_coding"
"717","ENSG00000215906","LACTBL1","protein_coding"
"718","ENSG00000227868","C1orf234","protein_coding"
"719","ENSG00000004487","KDM1A","protein_coding"
